«un motore»,,an engine,
la batteria,,the battery,
il tamburo,,the drum,
«l'alcol»,,the alcohol,
la nave,,the ship,
l'auto,,the car,
la macchina,,the car,
l'automobile,,the automobile,
«lo strumento»,,the instrument,
gas,,benzina,
benzina,,gasoline,
domanda,,demand,
gli strumenti,,the tools,
chiedi,,ask,
un rumore,,a noise,
improvvisamente,,suddenly,
camminare,,walk,
qualcosa,,something,
l'edificio,,the building,
la panetteria,,the bakery,
la pasticceria,,the bakery,
una collina,,a hill,
prigione,,prison,
uomo,,man,
donna delle pulizie,,cleaning lady,
agricoltore,,farmer,
così,,so,
divano,,sofa,
l'albergo,,The Hotel,
accadere,,happening,
si apre,,opens,
bene,,well,
almeno,,at least,
anche,,also,
birra,,beer,
anatra,,duck,
«individui»,,individuals,
natura,,nature,
carattere,,nature,character
persone,,people,
popolo,,people,
«popolazione»,,population,
personalità,,personality,
cittadino,,citizen,
generazione,,generation,
contadini,,farmer,
bello,,nice,
simpatico,,nice,
«una relazione»,,a report,
un raporto,,a report,
un compagno,,a partner,
compagno di stanza,,roommate,
sposi,,newlyweds,
simpatica,,nice,
relazioni,,relationships,
rapporti,,relationships,
adulto,,adult,
adolescente,,teenager,
ospite,,guest,
pezzi,,pieces,
bambino,,child,
«i cittadini»,,the citizens,
fidanzato,,boyfriend,fiance
folla,,crowd,
«matrimonio»,,marriage,
qualsiasi,,any,
qualunque,,any,whichever
parecchio,,quite a lot,
lo sappiamo,,we know,
cose,,things,
molti,,many,
parrecchie,,many,
spessa,,thick,
alcuni,,some,
pochi,,a few,
«terzo»,,third,
«quarto»,,fourth,
quarantesimo,,fourtieth,
quaranta,,forty,
cinquanta,,fifty,
cinquantesimo,,fiftieth,
abbastanza,,enough,
ogni,,every,
«altro»,,other,
nessuna,,any,
finestre,,windows,
abbondanza,,plenty,
parecchia,,plenty,many
«qualsiasi»,,whichever,
io cammino,,i walk,
sorridere,,to smile,
sorrido,,i smile,
viaggio,,i travel,
rubare,,steal,
io rubo,,i steal,
accendi,,turn on,
accendo,,i turn on,
inferiore,,lower,
abbassare,,to lower,
io abbasso,,i lower,
tende,,curtains,
bruciare,,burning,
brucia,,it burns,
fumare,,to smoke,
io fumo,,i smoke,
fallire,,to fail,
fallisco,,i fail,
mentire,,to lie,
io mento,,i lie,
da pulire,,to clean,
io pulisco,,i clean,
da riempire,,to fill,
riempio,,i fill,
riposare,,to rest,
mi riposo,,i rest,
lavare,,to wash,
io lavo,,i wash,
baciare,,to kiss,
io bacio,,i kiss,
coltivare,,to cultivate,
io coltivo,,i cultivate,
prenotare,,to reserve,
prenotermo,,i reserve,
lei riserva,,she reserves,
formare,,to train,
mi alleno,,i train,
da esplorare,,to explore,
io esploro,,i explore,
supporre,,to suppose,
suppongo,,i suppose,
urlare,,to yell,to scream
io urlo,,i yell,i scream
da svuotare,,to empty,
io svuoto,,i empty,
vuoto,,empty,
pianificare,,to plan,
io piano,,i plan,
nuotare,,to swim,
io nuoto,,i swim,
per parcheggiare,,to park,
io parto,,i park,
da sistemare,,to fix,
da riparare,,to repair,
riparo,,i repair,
partire,,to leave,
me ne vado,,i leave,
io parte,,i part,
assomigliare,,look like,
sembra,,looks like,
per asciugare,,to dry,
mi asciugo,,i dry,
migliorare,,to improve,
io miglioro,,i improve,
«accettare»,,to accept,
accetto,,i accept,
friggere,,to fry,
io friggo,,i fry,
da arrostire,,to roast,
arrosto,,i roast,
ha iniziato,,has started,
e cominciata,,has started,
hanno avuto,,have had,
ho avuto,,i have had,
sono venuti,,have come,they have come
sono venuto,,i have come,
hanno parlato,,have spoken,
ho parlato,,i have spoken,
ho visto,,have seen,
da vedere,,to see,
avere,,to have,
a venire,,to come,
potrei,,i could,
io posso,,i can,
sentire,,to feel,
ho sentito,,i heard,
andare,,to go,
morire,,to die,
credere,,to believe,
sapere,,to know,
per entrare,,to enter,
cominciato,,began,
da conservare,,to keep,
tenere,,to keep,
rimanere,,to remain,
passare,,to stay,to spend
portare,,to bring,
to live,,to have,
vivere,,to live,
aprire,,to open,
da usare,,to use,
uso,,use,
guardare,,to look,
chiamare,,to call,
ricordare,,to remember,
«decidere»,,to decide,
da fare,,to do,
mettere insieme,,to put together,
fatto,,made,
per finire,,to finish,
scrivere,,to write,
da seguire,,to follow,
da leggere,,to read,
aiutare,,to help,
amare,,to love,
da aggiungere,,to add,
per chiudere,,to close,
scegliere,,to choose,
da mostrare,,to show,
indicare,,to show,
da mangiare,,to eat,
mancare,,to miss,
tirare,,to pull,
guidare,,to drive,
ricevere,,to receive,
dimostrare,,to demonstrate,
spendere,,to spend,
svegliarsi,,to wake,
svegliare,,to wake up,
bere,,to drink,
ripetere,,to repeat,
affittare,,to rent,to rent out
nolegiare,,to rent,
Ricordare,,to remember,
che succedere,,what's happening,
strisciare,,to crawl,
Non ricordare,,to not remember,
Allenare,,to train,
Cosa sta succedendo,,what is happening,
a re3member,,to re3member,
voglio,,i want,
e,,It's,
albero,Noun,tree
Autobus,,bus
informazioni,Noun,information,info
treno,Noun,train
